Split point: 30
Total nodes: 200
Day,Newly Infected,Newly Recovered
1,20,1
2,39,1
3,25,6
4,32,9
5,28,8
6,21,9
7,8,8
8,4,7
9,1,8
10,4,14
11,2,10
12,3,11
13,2,3
14,6,7
15,3,6
16,5,10
17,2,6
18,4,12
19,3,8
20,2,6
21,2,6
22,6,7
23,1,6
24,8,3
25,6,0
26,4,6
27,6,6
28,6,6
29,7,3
30,4,4
31,3,8
32,4,5
33,3,4
34,3,11
35,3,3
36,3,8
37,2,5
38,3,7
39,1,7
40,3,3
41,2,2
42,2,2
43,3,3
44,2,3
45,4,5
46,3,5
47,2,3
48,3,7
49,3,3
50,3,5
51,2,3
52,2,5
53,3,5
54,1,3
55,1,3
56,0,3
57,1,3
58,6,4
59,4,4
60,2,0
61,2,1
62,4,5
63,1,1
64,3,0
65,6,4
66,3,2
67,1,4
68,0,4
69,4,3
70,1,2
71,0,1
72,3,2
73,0,2
74,1,1
75,1,0
76,6,2
77,0,4
78,0,2
79,0,0
80,1,0
81,0,2
82,0,4
83,1,2
84,3,4
85,1,1
86,2,4
87,1,2
88,0,4
89,0,3
90,0,1
91,0,0
92,1,1
93,0,0
94,1,0
95,0,3
96,1,2
97,1,0
98,0,0
99,0,1
